@relation Invistico_Airline

@attribute satisfaction {satisfied,dissatisfied}
@attribute 'Customer Type' {'Loyal Customer','disloyal Customer'}
@attribute Age numeric
@attribute 'Type of Travel' {'Personal Travel','Business travel'}
@attribute Class {Eco,Business,'Eco Plus'}
@attribute 'Flight Distance' numeric
@attribute 'Seat comfort' numeric
@attribute 'Departure/Arrival time convenient' numeric
@attribute 'Food and drink' numeric
@attribute 'Gate location' numeric
@attribute 'Inflight wifi service' numeric
@attribute 'Inflight entertainment' numeric
@attribute 'Online support' numeric
@attribute 'Ease of Online booking' numeric
@attribute 'On-board service' numeric
@attribute 'Leg room service' numeric
@attribute 'Baggage handling' numeric
@attribute 'Checkin service' numeric
@attribute Cleanliness numeric
@attribute 'Online boarding' numeric
@attribute 'Departure Delay in Minutes' numeric
@attribute 'Arrival Delay in Minutes' numeric

@data
satisfied,'Loyal Customer',34,'Business travel',Business,1152,1,1,1,1,2,5,5,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',29,'Business travel',Business,2490,4,4,4,4,4,4,4,4,4,3,4,3,4,4,8,0
satisfied,'Loyal Customer',14,'Business travel',Business,2203,3,3,3,3,4,4,4,4,3,2,5,4,5,4,0,0
satisfied,'Loyal Customer',41,'Business travel',Business,1758,3,3,3,3,4,4,4,4,4,4,4,3,4,4,23,19
satisfied,'Loyal Customer',25,'Business travel',Business,2497,2,2,2,2,4,4,4,4,5,4,4,4,5,4,2,?
satisfied,'Loyal Customer',9,'Business travel',Business,3947,4,4,4,4,4,4,4,4,5,5,4,4,4,4,0,0
satisfied,'Loyal Customer',57,'Business travel',Business,2201,5,5,5,5,5,5,5,4,4,4,4,4,4,3,2,1
dissatisfied,'Loyal Customer',43,'Business travel',Business,1166,4,1,1,1,4,4,4,4,4,4,4,1,4,4,65,60
satisfied,'Loyal Customer',37,'Business travel',Business,2507,5,5,5,5,2,4,4,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',58,'Business travel',Business,1154,5,5,5,5,4,4,5,4,4,4,4,4,4,3,3,1
satisfied,'Loyal Customer',56,'Business travel',Business,1816,2,2,2,2,4,5,4,4,4,4,4,5,4,5,56,65
satisfied,'Loyal Customer',53,'Business travel',Business,3301,3,3,3,3,4,5,4,4,4,4,4,4,4,3,13,25
satisfied,'Loyal Customer',52,'Business travel',Business,1131,5,5,3,5,3,5,4,4,4,4,4,5,4,4,14,54
satisfied,'Loyal Customer',52,'Business travel',Business,2109,3,3,3,3,3,5,4,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',51,'Business travel',Business,1158,3,3,3,3,2,4,4,4,4,4,4,4,4,4,0,0
satisfied,'Loyal Customer',50,'Business travel',Business,2046,4,4,4,4,2,5,4,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',49,'Business travel',Business,3175,4,4,4,4,1,4,4,4,4,4,4,4,4,4,0,0
satisfied,'Loyal Customer',44,'Business travel',Business,2815,3,3,3,3,2,4,4,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',42,'Business travel',Business,1140,3,3,3,3,1,1,1,4,4,4,4,1,4,3,12,5
satisfied,'Loyal Customer',41,'Business travel',Business,1724,2,2,2,2,2,4,4,4,4,4,4,3,4,4,8,20
satisfied,'Loyal Customer',39,'Business travel',Business,1761,2,2,2,2,5,4,5,4,4,4,4,4,4,5,7,0
satisfied,'Loyal Customer',38,'Business travel',Business,2663,2,2,2,2,4,5,5,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',38,'Business travel',Business,1856,4,4,4,4,4,5,5,4,4,4,4,4,4,3,22,16
satisfied,'Loyal Customer',38,'Business travel',Business,3045,5,5,5,5,4,4,4,4,1,5,1,4,3,4,269,260
satisfied,'Loyal Customer',38,'Business travel',Business,2016,4,4,4,4,2,2,5,4,4,4,4,2,4,5,12,0
satisfied,'Loyal Customer',35,'Business travel',Business,1146,2,2,2,2,3,5,4,4,4,4,4,3,4,5,0,0
satisfied,'Loyal Customer',31,'Business travel',Business,2250,3,3,3,3,4,4,4,4,5,4,5,4,5,4,1,12
dissatisfied,'Loyal Customer',31,'Business travel',Business,4445,4,4,4,4,4,4,4,4,4,3,4,1,4,4,0,0
satisfied,'Loyal Customer',26,'Business travel',Business,3530,5,5,5,5,4,4,4,4,3,2,5,5,4,4,0,2
dissatisfied,'Loyal Customer',33,'Business travel',Business,3642,4,4,5,4,4,4,4,4,2,3,2,2,3,4,8,10
satisfied,'Loyal Customer',32,'Business travel',Business,5368,1,1,1,1,4,4,4,4,3,2,5,3,5,4,0,0
satisfied,'Loyal Customer',32,'Business travel',Business,4476,4,4,4,4,4,4,4,4,3,4,5,4,4,4,0,0
satisfied,'Loyal Customer',32,'Business travel',Business,4672,1,1,1,1,4,4,4,4,3,2,5,5,4,4,0,0
satisfied,'Loyal Customer',30,'Business travel',Business,4122,2,2,2,2,4,4,4,4,4,2,5,5,5,4,0,0
satisfied,'Loyal Customer',60,'Business travel',Business,1141,4,4,4,4,3,4,4,4,4,4,4,5,4,5,0,39
satisfied,'Loyal Customer',53,'Business travel',Business,1883,2,2,2,2,3,4,5,4,4,4,4,3,4,3,5,5
satisfied,'Loyal Customer',48,'Business travel',Business,2196,4,4,4,4,3,5,5,4,4,4,4,5,4,3,41,92
satisfied,'Loyal Customer',45,'Business travel',Business,3414,4,4,3,4,3,5,4,4,4,4,4,3,4,5,1,0
satisfied,'Loyal Customer',41,'Business travel',Business,3378,3,3,3,3,2,5,5,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',39,'Business travel',Business,2131,2,2,2,2,5,5,5,4,4,4,4,5,4,5,10,0
satisfied,'Loyal Customer',31,'Business travel',Business,2603,4,4,4,4,4,4,4,4,3,4,4,3,4,4,0,0
satisfied,'Loyal Customer',27,'Business travel',Business,4344,5,5,5,5,4,4,4,4,5,2,5,5,5,4,0,0
satisfied,'Loyal Customer',25,'Business travel',Business,2292,2,2,2,2,4,4,4,4,4,5,4,3,4,4,0,0
satisfied,'Loyal Customer',37,'Business travel',Business,1158,2,2,3,2,3,5,2,4,4,4,4,1,4,5,0,1
dissatisfied,'Loyal Customer',58,'Business travel',Business,1122,4,1,1,1,5,4,3,4,4,4,4,3,4,3,0,9
satisfied,'Loyal Customer',42,'Business travel',Business,1133,1,1,1,1,1,1,5,4,4,4,4,2,4,3,0,0
satisfied,'Loyal Customer',58,'Business travel',Business,1136,5,5,5,5,5,5,5,4,4,4,4,3,4,5,27,13
satisfied,'Loyal Customer',54,'Business travel',Business,1768,1,1,1,1,4,5,5,4,4,4,4,4,4,4,10,0
satisfied,'Loyal Customer',45,'Business travel',Business,3039,2,2,2,2,5,3,2,4,4,4,4,5,4,2,0,0
satisfied,'Loyal Customer',34,'Business travel',Business,2106,3,3,3,3,1,4,1,4,4,4,4,5,4,1,8,54
dissatisfied,'Loyal Customer',25,'Business travel',Business,2195,4,5,5,5,4,4,4,4,3,2,4,4,3,4,20,17
satisfied,'Loyal Customer',60,'Business travel',Business,1651,1,1,1,1,4,5,5,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',52,'Business travel',Business,3597,5,5,5,5,2,5,5,4,4,4,4,3,4,3,5,2
satisfied,'Loyal Customer',52,'Business travel',Business,3720,5,5,3,5,2,4,5,4,4,4,4,4,4,5,15,4
satisfied,'Loyal Customer',48,'Business travel',Business,1150,4,4,4,4,4,5,5,4,4,4,4,5,4,3,8,0
satisfied,'Loyal Customer',47,'Business travel',Business,1109,3,3,3,3,5,5,4,4,4,4,4,5,4,3,0,0
satisfied,'Loyal Customer',39,'Business travel',Business,2925,3,3,5,3,3,4,5,4,4,4,4,5,4,4,31,5
satisfied,'Loyal Customer',37,'Business travel',Business,1714,2,2,2,2,3,5,5,4,4,4,4,3,4,5,0,10
satisfied,'Loyal Customer',37,'Business travel',Business,1857,5,5,5,5,3,4,1,4,4,4,4,1,4,5,5,11
satisfied,'Loyal Customer',36,'Business travel',Business,1146,2,2,2,2,5,5,5,4,4,4,4,4,4,5,9,16
satisfied,'Loyal Customer',18,'Business travel',Business,3815,4,4,4,4,4,4,4,4,4,2,4,5,4,4,0,0
satisfied,'Loyal Customer',53,'Business travel',Business,1135,3,3,3,3,1,3,3,4,4,4,4,1,4,5,0,0
satisfied,'Loyal Customer',40,'Business travel',Business,2729,2,2,2,2,4,5,4,4,4,4,4,4,4,5,7,0
satisfied,'Loyal Customer',31,'Business travel',Business,4536,5,5,2,5,4,4,4,4,5,1,1,3,3,4,0,0
satisfied,'Loyal Customer',29,'Business travel',Business,4600,3,3,3,3,4,4,4,4,2,5,5,4,5,4,0,0
satisfied,'Loyal Customer',59,'Business travel',Business,2238,5,1,5,5,4,5,5,4,4,4,4,4,4,5,0,2
satisfied,'Loyal Customer',31,'Business travel',Business,2465,2,2,2,2,4,4,4,4,5,5,5,4,4,4,4,15
dissatisfied,'Loyal Customer',25,'Business travel',Business,5308,4,3,3,3,4,4,4,4,1,3,3,2,4,4,0,0
satisfied,'Loyal Customer',58,'Business travel',Business,1758,2,2,2,2,3,5,4,4,4,4,4,5,4,5,24,8
satisfied,'Loyal Customer',55,'Business travel',Business,3053,4,4,1,4,5,4,4,4,4,4,4,4,4,4,0,0
satisfied,'Loyal Customer',54,'Business travel',Business,1748,4,4,1,4,4,4,5,4,4,4,4,3,4,3,0,0
satisfied,'Loyal Customer',54,'Business travel',Business,1099,5,5,1,5,5,4,5,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',50,'Business travel',Business,1142,5,5,5,5,4,4,4,4,4,4,4,4,4,5,29,2
satisfied,'Loyal Customer',50,'Business travel',Business,1141,5,5,5,5,3,4,5,4,4,4,4,4,4,4,0,49
satisfied,'Loyal Customer',50,'Business travel',Business,2318,4,4,4,4,5,4,4,4,4,4,4,3,4,4,0,17
satisfied,'Loyal Customer',48,'Business travel',Business,1115,1,1,1,1,5,4,5,4,4,4,4,5,4,5,0,0
satisfied,'Loyal Customer',48,'Business travel',Business,2328,5,5,5,5,4,5,4,4,4,4,4,4,4,5,1,0
satisfied,'Loyal Customer',45,'Business travel',Business,1890,3,3,4,3,4,4,5,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',42,'Business travel',Business,2022,2,2,2,2,5,5,4,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',42,'Business travel',Business,2618,5,5,5,5,4,4,4,5,5,5,5,4,5,4,170,157
satisfied,'Loyal Customer',37,'Business travel',Business,3727,3,3,3,3,5,5,4,4,4,4,4,4,4,4,0,0
satisfied,'Loyal Customer',19,'Business travel',Business,3268,3,2,3,3,4,4,4,4,4,4,5,3,4,4,0,0
satisfied,'Loyal Customer',54,'Business travel',Eco,4225,4,3,3,3,4,4,4,5,3,4,5,4,3,4,0,0
satisfied,'Loyal Customer',54,'Business travel',Eco,461,4,3,3,3,1,5,4,4,4,4,4,1,4,2,15,4
satisfied,'Loyal Customer',54,'Business travel',Eco,1795,4,5,5,5,4,4,4,4,1,2,2,5,3,4,0,0
satisfied,'Loyal Customer',54,'Business travel',Eco,779,4,4,4,4,1,4,2,4,4,4,4,4,4,4,29,38
satisfied,'Loyal Customer',53,'Business travel',Eco,2842,4,3,3,3,4,4,4,4,2,4,4,5,3,4,0,0
satisfied,'Loyal Customer',53,'Business travel','Eco Plus',2452,4,3,3,3,4,4,4,4,4,4,2,5,2,4,39,38
satisfied,'Loyal Customer',53,'Business travel','Eco Plus',968,4,2,2,2,3,1,3,4,4,4,4,5,4,5,0,0
dissatisfied,'Loyal Customer',53,'Business travel',Eco,602,4,4,4,4,2,4,4,4,4,4,4,1,4,3,0,0
satisfied,'Loyal Customer',53,'Business travel',Eco,1965,4,1,1,1,4,4,4,4,5,2,5,3,5,4,59,56
dissatisfied,'Loyal Customer',53,'Business travel',Eco,1947,4,2,1,1,4,4,4,4,2,4,3,2,3,4,0,0
dissatisfied,'Loyal Customer',53,'Business travel',Eco,1590,4,3,2,3,4,4,4,4,2,3,4,2,3,4,4,1
satisfied,'Loyal Customer',53,'Business travel',Eco,352,4,1,1,1,2,5,1,4,4,4,4,2,4,2,0,16
satisfied,'Loyal Customer',53,'Business travel','Eco Plus',1930,4,4,3,4,4,4,4,4,4,3,5,3,4,4,74,83
satisfied,'Loyal Customer',53,'Business travel','Eco Plus',268,4,3,3,3,4,5,3,4,4,4,4,2,4,4,5,0
satisfied,'Loyal Customer',53,'Business travel',Eco,1446,4,3,3,3,4,4,4,4,1,3,3,3,4,4,0,0
satisfied,'Loyal Customer',53,'Business travel',Eco,99,4,2,2,2,5,5,1,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',53,'Business travel',Eco,1518,4,2,2,2,4,4,4,4,1,2,3,5,3,4,5,8
dissatisfied,'Loyal Customer',53,'Business travel',Eco,1697,4,4,4,4,4,4,4,4,4,3,3,2,4,4,0,0
dissatisfied,'Loyal Customer',54,'Business travel',Business,2935,4,3,3,3,2,3,4,4,4,4,4,3,4,4,40,27
dissatisfied,'Loyal Customer',54,'Business travel',Business,2357,4,4,4,4,3,2,3,4,4,4,4,2,4,4,0,?
satisfied,'Loyal Customer',39,'Business travel',Business,2661,5,5,5,5,4,4,2,4,4,4,4,3,4,3,4,48
satisfied,'Loyal Customer',52,'Business travel',Business,1102,3,3,3,3,2,4,5,4,4,4,4,3,4,5,0,0
satisfied,'Loyal Customer',51,'Business travel',Business,3863,1,1,1,1,2,4,4,4,4,4,4,3,4,3,0,0
satisfied,'Loyal Customer',48,'Business travel',Business,2901,2,2,2,2,2,5,4,4,4,4,4,4,4,2,19,0
satisfied,'Loyal Customer',47,'Business travel',Business,1123,4,4,4,4,5,4,5,4,4,4,4,3,4,3,0,0
satisfied,'Loyal Customer',44,'Business travel',Business,3325,2,2,2,2,5,4,4,4,4,4,4,3,4,5,0,0
satisfied,'Loyal Customer',28,'Business travel',Business,2102,4,4,4,4,4,4,4,4,5,1,3,3,4,4,0,2
satisfied,'Loyal Customer',58,'Business travel',Business,1090,2,2,3,2,3,4,5,4,4,4,4,3,4,4,0,2
satisfied,'Loyal Customer',50,'Business travel',Business,1132,3,3,3,3,2,5,5,4,4,4,4,5,4,3,109,97
satisfied,'Loyal Customer',44,'Business travel',Business,1855,5,5,5,5,4,4,5,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',19,'Business travel',Business,4429,4,4,1,4,4,4,4,4,3,5,4,4,5,4,0,0
satisfied,'Loyal Customer',60,'Business travel',Business,1116,3,3,3,3,3,4,4,4,4,4,4,4,4,5,2,0
satisfied,'Loyal Customer',56,'Business travel',Business,1102,5,3,5,5,3,4,5,4,4,4,4,3,4,4,2,0
satisfied,'Loyal Customer',47,'Business travel',Business,1133,4,4,3,4,3,4,4,4,4,4,4,5,4,3,0,0
satisfied,'Loyal Customer',43,'Business travel',Business,1130,5,5,5,5,5,5,4,4,4,4,4,4,4,4,0,2
satisfied,'Loyal Customer',43,'Business travel',Business,1110,3,3,3,3,2,4,5,4,4,4,4,3,4,3,24,16
satisfied,'Loyal Customer',42,'Business travel',Business,1100,1,1,1,1,3,5,5,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',39,'Business travel',Business,3828,3,3,3,3,2,4,5,4,4,4,4,5,4,4,0,0
dissatisfied,'Loyal Customer',30,'Business travel',Business,4667,4,2,2,2,4,4,4,4,2,5,3,1,4,4,0,0
satisfied,'Loyal Customer',16,'Business travel',Business,5225,3,3,3,3,4,4,4,5,3,4,5,4,3,4,133,129
satisfied,'Loyal Customer',35,'Business travel',Business,1118,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,0
satisfied,'Loyal Customer',53,'Business travel',Business,1664,1,1,1,1,2,4,4,4,4,4,4,3,4,3,14,5
satisfied,'Loyal Customer',52,'Business travel',Business,2143,4,4,4,4,3,4,4,4,4,4,4,4,4,4,0,0
satisfied,'Loyal Customer',46,'Business travel',Business,1110,5,5,5,5,4,4,5,4,4,4,4,5,4,4,6,1
satisfied,'Loyal Customer',39,'Business travel',Business,1890,2,2,2,2,2,5,5,4,4,4,4,3,4,3,0,0
satisfied,'Loyal Customer',37,'Business travel',Business,3785,4,4,4,4,4,5,4,4,4,4,4,5,4,4,1,9
satisfied,'Loyal Customer',25,'Business travel',Business,2215,1,1,1,1,4,4,4,4,5,3,5,3,4,4,9,0
dissatisfied,'Loyal Customer',23,'Business travel',Business,2048,4,2,2,2,4,4,4,4,2,2,3,4,3,4,3,0
dissatisfied,'Loyal Customer',72,'Business travel',Business,1093,4,3,3,3,2,2,3,4,4,4,4,1,4,1,0,0
satisfied,'Loyal Customer',51,'Business travel',Business,1115,5,5,5,5,3,5,4,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',51,'Business travel',Business,3754,2,2,2,2,5,5,4,4,4,4,4,3,4,5,0,15
satisfied,'Loyal Customer',41,'Business travel',Business,1133,5,5,2,5,5,5,4,4,4,4,4,4,4,4,0,0
satisfied,'Loyal Customer',31,'Business travel',Business,4584,2,2,2,2,4,4,4,4,1,5,2,5,3,4,0,13
satisfied,'Loyal Customer',44,'Business travel',Business,2197,2,2,2,2,1,3,1,4,4,4,4,2,4,1,14,0
satisfied,'Loyal Customer',38,'Business travel',Business,3393,3,3,3,3,3,4,3,4,4,4,4,3,4,4,25,22
satisfied,'Loyal Customer',60,'Business travel',Business,4870,2,2,2,2,4,4,4,3,5,5,4,4,4,4,304,297
satisfied,'Loyal Customer',53,'Business travel',Business,3205,1,1,1,1,3,5,4,4,4,4,4,5,4,3,94,70
satisfied,'Loyal Customer',53,'Business travel',Business,3717,2,2,2,2,5,5,4,4,4,4,4,3,4,3,45,21
satisfied,'Loyal Customer',51,'Business travel',Business,3234,3,3,3,3,4,4,2,4,4,4,4,2,4,2,0,0
satisfied,'Loyal Customer',41,'Business travel',Business,2220,5,5,5,5,3,5,5,4,4,4,4,5,4,5,0,18
satisfied,'Loyal Customer',49,'Business travel',Business,1817,1,1,1,1,4,5,5,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',47,'Business travel',Business,1116,3,3,3,3,5,5,4,4,4,4,4,3,4,4,0,10
satisfied,'Loyal Customer',40,'Business travel',Business,4009,3,3,3,3,4,5,4,4,4,4,4,3,4,5,2,3
satisfied,'Loyal Customer',29,'Business travel',Business,2620,2,2,2,2,4,4,4,4,3,5,1,2,4,4,0,0
satisfied,'Loyal Customer',26,'Business travel',Business,3698,1,1,3,1,4,4,4,4,3,5,4,4,1,4,9,0
satisfied,'Loyal Customer',26,'Business travel',Business,3653,1,1,1,1,4,4,4,4,1,4,4,3,3,4,0,0
satisfied,'Loyal Customer',61,'Business travel',Business,2791,2,2,4,2,5,4,5,4,4,4,4,3,4,4,81,73
satisfied,'Loyal Customer',56,'Business travel',Business,1097,4,4,4,4,1,3,3,4,4,4,4,2,4,4,0,0
satisfied,'Loyal Customer',51,'Business travel',Business,1748,5,5,5,5,5,5,5,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',45,'Business travel',Business,3340,2,2,2,2,2,1,2,4,4,4,4,4,4,1,0,0
satisfied,'Loyal Customer',37,'Business travel',Business,1087,5,5,5,5,1,1,1,4,4,4,4,2,4,4,3,0
satisfied,'Loyal Customer',31,'Business travel',Business,1929,2,2,2,2,4,4,4,4,3,1,2,5,5,4,0,11
satisfied,'Loyal Customer',28,'Business travel',Business,2306,2,2,2,2,4,4,4,4,1,2,3,2,3,4,0,0
satisfied,'Loyal Customer',44,'Business travel',Business,1076,3,3,2,3,2,4,4,4,4,4,4,4,4,4,107,111
satisfied,'Loyal Customer',40,'Business travel',Business,3555,2,2,2,2,3,4,4,4,4,4,4,5,4,4,37,45
satisfied,'Loyal Customer',49,'Business travel',Business,1082,2,2,4,2,2,4,5,4,4,4,4,4,4,4,11,4
satisfied,'Loyal Customer',48,'Business travel',Business,3198,2,2,2,2,2,4,4,4,4,4,4,4,4,5,16,0
dissatisfied,'Loyal Customer',41,'Business travel',Business,2802,4,3,3,3,5,3,3,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',41,'Business travel',Business,1091,4,4,4,4,5,4,5,4,4,4,4,5,4,5,0,0
satisfied,'Loyal Customer',30,'Business travel',Business,4669,2,1,2,2,4,4,4,4,3,3,5,5,4,4,0,0
satisfied,'Loyal Customer',58,'Business travel',Business,3468,3,3,3,3,5,5,5,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',56,'Business travel',Business,1548,5,5,5,5,2,4,5,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',55,'Business travel',Business,1096,4,4,4,4,5,4,4,4,4,4,4,5,4,5,1,0
satisfied,'Loyal Customer',40,'Business travel',Business,1863,1,1,1,1,2,4,4,4,4,4,4,3,4,4,55,49
satisfied,'Loyal Customer',37,'Business travel',Business,1113,5,5,5,5,5,5,5,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',29,'Business travel',Business,5000,4,4,4,4,4,4,4,4,5,1,1,2,2,4,0,0
satisfied,'Loyal Customer',25,'Business travel',Business,4039,3,3,3,3,4,4,4,4,5,3,5,3,5,4,35,23
satisfied,'Loyal Customer',49,'Business travel',Business,1092,1,1,1,1,5,5,5,4,4,4,4,3,4,3,23,9
satisfied,'Loyal Customer',42,'Business travel',Business,3728,5,5,5,5,4,5,4,4,4,4,4,5,4,4,0,12
satisfied,'Loyal Customer',32,'Business travel',Business,2493,1,1,1,1,4,4,4,4,5,2,5,3,3,4,8,0
dissatisfied,'Loyal Customer',29,'Business travel',Business,4096,4,1,1,1,4,4,4,4,1,4,4,4,3,4,7,7
satisfied,'Loyal Customer',24,'Business travel',Business,4674,5,5,5,5,4,4,4,4,3,2,5,4,4,4,0,0
satisfied,'Loyal Customer',18,'Business travel',Business,2120,1,1,1,1,4,4,4,4,4,2,5,5,5,4,65,40
satisfied,'Loyal Customer',44,'Business travel',Business,1114,5,5,5,5,4,5,5,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',30,'Business travel',Business,3017,4,4,4,4,4,4,4,4,2,1,2,3,2,4,2,0
satisfied,'Loyal Customer',17,'Business travel',Business,4923,2,2,2,2,4,4,4,4,5,3,1,5,5,4,0,0
satisfied,'Loyal Customer',53,'Business travel',Business,5275,3,3,3,3,4,4,4,3,2,4,4,4,3,4,167,172
satisfied,'Loyal Customer',46,'Business travel',Business,1113,1,1,1,1,2,4,4,4,4,4,4,4,4,4,9,0
satisfied,'Loyal Customer',44,'Business travel',Business,3622,4,4,4,4,3,5,5,4,4,4,4,4,4,4,0,11
satisfied,'Loyal Customer',44,'Business travel',Business,3874,5,5,5,5,2,5,5,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',39,'Business travel',Business,1102,5,5,5,5,3,5,4,4,4,4,4,5,4,3,0,0
satisfied,'Loyal Customer',18,'Business travel',Business,1990,2,2,2,2,4,4,4,4,5,4,5,5,4,4,8,11
satisfied,'Loyal Customer',52,'Business travel',Business,2006,5,5,4,5,3,5,4,4,4,4,4,5,4,3,1,0
satisfied,'Loyal Customer',43,'Business travel',Business,2743,1,1,1,1,1,1,5,4,4,4,4,1,4,2,0,0
satisfied,'Loyal Customer',40,'Business travel',Business,3914,3,3,3,3,4,4,5,4,4,4,4,5,4,4,19,14
satisfied,'Loyal Customer',37,'Business travel',Business,4017,2,2,2,2,2,5,4,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',19,'Business travel',Business,4284,4,4,4,4,4,4,4,4,5,4,4,3,4,4,0,0
satisfied,'Loyal Customer',60,'Business travel',Business,2873,5,5,5,5,3,4,4,4,4,4,4,3,4,3,20,23
satisfied,'Loyal Customer',47,'Business travel',Business,2414,1,1,1,1,5,4,5,4,4,4,4,3,4,5,28,14
satisfied,'Loyal Customer',45,'Business travel',Business,4001,4,4,4,4,3,5,4,4,4,4,4,3,4,3,0,3
dissatisfied,'Loyal Customer',41,'Business travel',Business,3244,4,5,5,5,1,3,4,4,4,4,4,2,4,3,0,0
dissatisfied,'Loyal Customer',33,'Business travel',Business,1991,4,4,4,4,3,4,3,4,4,4,4,2,4,1,1,0
satisfied,'Loyal Customer',60,'Business travel',Business,1084,2,2,2,2,4,4,4,4,4,4,4,3,4,4,20,0
satisfied,'Loyal Customer',52,'Business travel',Business,3021,4,4,5,4,3,5,5,4,4,4,4,3,4,5,0,0
satisfied,'Loyal Customer',51,'Business travel',Business,3584,4,1,4,4,2,4,4,4,4,4,4,4,4,5,16,0
satisfied,'Loyal Customer',34,'Business travel',Business,2415,3,4,3,3,5,4,5,4,4,4,4,5,4,4,0,2
satisfied,'Loyal Customer',60,'Business travel',Business,3976,1,1,1,1,4,5,4,4,4,4,4,3,4,4,16,8
satisfied,'Loyal Customer',52,'Business travel',Business,2996,5,5,5,5,3,5,4,4,4,4,4,4,4,5,5,18
satisfied,'Loyal Customer',48,'Business travel',Business,2449,2,2,2,2,2,4,5,4,4,4,4,5,4,3,5,11
satisfied,'Loyal Customer',47,'Business travel',Business,1056,4,4,4,4,3,5,5,4,4,4,4,4,4,4,45,49
satisfied,'Loyal Customer',43,'Business travel',Business,1070,1,1,1,1,5,5,5,4,4,4,4,5,4,3,47,51
satisfied,'Loyal Customer',33,'Business travel',Business,5343,5,5,5,5,4,4,4,4,5,5,4,3,4,4,0,0
satisfied,'Loyal Customer',23,'Business travel',Business,2968,1,1,1,1,4,4,4,4,3,1,3,2,4,4,0,0
satisfied,'Loyal Customer',57,'Business travel',Business,2958,1,1,1,1,5,5,5,4,4,4,4,3,4,5,23,18
satisfied,'Loyal Customer',57,'Business travel',Business,1074,2,2,2,2,5,4,4,4,4,4,4,5,4,5,0,0
satisfied,'Loyal Customer',56,'Business travel',Business,5496,5,5,2,5,4,4,4,5,5,4,5,4,4,4,283,317
satisfied,'Loyal Customer',55,'Business travel',Business,3789,5,5,5,5,4,5,5,4,4,4,4,5,4,4,4,2
satisfied,'Loyal Customer',55,'Business travel',Business,3630,4,4,4,4,4,5,4,4,4,4,4,3,4,3,11,0
satisfied,'Loyal Customer',52,'Business travel',Business,2185,3,3,3,3,5,4,4,4,4,4,4,4,4,4,0,2
satisfied,'Loyal Customer',46,'Business travel',Business,3359,4,4,4,4,5,5,4,4,4,4,4,5,4,4,14,10
satisfied,'Loyal Customer',42,'Business travel',Business,1101,5,5,5,5,5,5,4,4,4,4,4,5,4,4,29,8
satisfied,'Loyal Customer',22,'Business travel',Business,4411,5,5,3,5,4,4,4,4,2,3,5,3,3,4,21,11
satisfied,'Loyal Customer',51,'Business travel',Business,2541,4,4,4,4,4,5,4,4,4,4,4,4,4,3,55,56
satisfied,'Loyal Customer',36,'Business travel',Business,2602,3,3,5,3,2,4,5,4,4,4,4,5,4,4,4,0
satisfied,'Loyal Customer',52,'Business travel',Business,3230,4,4,4,4,3,5,5,4,4,4,4,4,4,4,20,6
satisfied,'Loyal Customer',51,'Business travel',Business,1949,4,4,4,4,5,4,4,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',48,'Business travel',Business,1095,5,5,4,5,4,5,5,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',44,'Business travel',Business,1059,5,5,5,5,1,4,1,4,4,4,4,3,4,1,0,0
satisfied,'Loyal Customer',43,'Business travel',Business,2897,5,5,5,5,5,5,2,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',34,'Business travel',Business,3542,3,3,3,3,3,5,5,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',31,'Business travel',Business,2539,3,3,3,3,4,4,4,4,4,4,1,4,1,4,0,0
dissatisfied,'Loyal Customer',9,'Business travel',Business,4437,4,2,2,2,4,4,4,4,4,1,3,3,4,4,0,0
satisfied,'Loyal Customer',50,'Business travel',Business,1064,1,1,1,1,5,5,4,4,4,4,4,4,4,4,0,0
